Actual,Late_Probability,Risk_Category
0,0.406,Medium Risk
1,0.79,High Risk
0,0.347,Low Risk
0,0.388,Low Risk
1,0.996,High Risk
1,0.799,High Risk
0,0.557,Medium Risk
0,0.343,Low Risk
1,0.715,High Risk
1,0.801,High Risk
1,0.786,High Risk
0,0.388,Low Risk
0,0.405,Medium Risk
0,0.429,Medium Risk
0,0.362,Low Risk
1,0.751,High Risk
1,0.873,High Risk
1,0.389,Low Risk
1,0.402,Medium Risk
1,0.482,Medium Risk
1,0.336,Low Risk
1,0.997,High Risk
0,0.394,Low Risk
1,0.997,High Risk
0,0.392,Low Risk
0,0.378,Low Risk
0,0.297,Low Risk
1,0.388,Low Risk
1,0.385,Low Risk
1,0.37,Low Risk
0,0.679,High Risk
1,0.362,Low Risk
0,0.348,Low Risk
1,0.382,Low Risk
0,0.401,Medium Risk
0,0.308,Low Risk
1,0.997,High Risk
1,0.564,Medium Risk
0,0.396,Low Risk
1,0.414,Medium Risk
1,0.376,Low Risk
0,0.389,Low Risk
0,0.403,Medium Risk
0,0.81,High Risk
1,0.806,High Risk
0,0.428,Medium Risk
1,0.827,High Risk
1,0.997,High Risk
0,0.363,Low Risk
0,0.421,Medium Risk
0,0.43,Medium Risk
0,0.321,Low Risk
1,0.391,Low Risk
1,0.418,Medium Risk
1,0.791,High Risk
1,0.845,High Risk
1,0.399,Low Risk
1,0.681,High Risk
0,0.414,Medium Risk
1,0.825,High Risk
1,0.386,Low Risk
0,0.458,Medium Risk
1,0.594,Medium Risk
1,0.801,High Risk
0,0.44,Medium Risk
0,0.383,Low Risk
0,0.327,Low Risk
1,0.388,Low Risk
1,0.997,High Risk
1,0.812,High Risk
1,0.421,Medium Risk
0,0.773,High Risk
1,0.478,Medium Risk
1,0.662,High Risk
0,0.35,Low Risk
0,0.423,Medium Risk
1,0.41,Medium Risk
0,0.446,Medium Risk
0,0.407,Medium Risk
0,0.474,Medium Risk
0,0.449,Medium Risk
0,0.366,Low Risk
1,0.657,High Risk
0,0.386,Low Risk
1,0.815,High Risk
1,0.4,Low Risk
1,0.997,High Risk
0,0.404,Medium Risk
0,0.368,Low Risk
0,0.441,Medium Risk
0,0.181,Low Risk
1,0.424,Medium Risk
0,0.475,Medium Risk
0,0.451,Medium Risk
1,0.655,High Risk
0,0.464,Medium Risk
1,0.387,Low Risk
0,0.247,Low Risk
0,0.489,Medium Risk
1,0.345,Low Risk
0,0.734,High Risk
1,0.49,Medium Risk
1,0.443,Medium Risk
0,0.415,Medium Risk
1,0.8,High Risk
1,0.467,Medium Risk
0,0.333,Low Risk
1,0.997,High Risk
0,0.31,Low Risk
0,0.405,Medium Risk
0,0.724,High Risk
0,0.345,Low Risk
0,0.404,Medium Risk
0,0.477,Medium Risk
1,0.997,High Risk
1,0.996,High Risk
1,0.695,High Risk
1,0.408,Medium Risk
1,0.351,Low Risk
0,0.405,Medium Risk
1,0.442,Medium Risk
1,0.996,High Risk
1,0.366,Low Risk
1,0.811,High Risk
1,0.997,High Risk
1,0.822,High Risk
0,0.671,High Risk
0,0.31,Low Risk
0,0.372,Low Risk
1,0.997,High Risk
1,0.416,Medium Risk
0,0.338,Low Risk
0,0.369,Low Risk
1,0.457,Medium Risk
0,0.405,Medium Risk
1,0.393,Low Risk
1,0.849,High Risk
1,0.482,Medium Risk
1,0.384,Low Risk
1,0.387,Low Risk
1,0.997,High Risk
1,0.423,Medium Risk
0,0.464,Medium Risk
1,0.855,High Risk
1,0.997,High Risk
1,0.997,High Risk
0,0.355,Low Risk
1,0.826,High Risk
1,0.393,Low Risk
0,0.254,Low Risk
0,0.357,Low Risk
1,0.412,Medium Risk
0,0.353,Low Risk
1,0.996,High Risk
1,0.756,High Risk
1,0.822,High Risk
0,0.404,Medium Risk
0,0.417,Medium Risk
0,0.406,Medium Risk
1,0.786,High Risk
1,0.367,Low Risk
1,0.858,High Risk
1,0.812,High Risk
0,0.336,Low Risk
1,0.84,High Risk
0,0.284,Low Risk
0,0.371,Low Risk
0,0.422,Medium Risk
0,0.386,Low Risk
1,0.855,High Risk
1,0.997,High Risk
1,0.802,High Risk
0,0.306,Low Risk
1,0.811,High Risk
0,0.393,Low Risk
0,0.421,Medium Risk
1,0.799,High Risk
0,0.414,Medium Risk
1,0.996,High Risk
1,0.802,High Risk
0,0.775,High Risk
1,0.412,Medium Risk
1,0.798,High Risk
1,0.522,Medium Risk
0,0.406,Medium Risk
0,0.319,Low Risk
1,0.362,Low Risk
1,0.545,Medium Risk
1,0.354,Low Risk
1,0.352,Low Risk
1,0.405,Medium Risk
0,0.392,Low Risk
1,0.415,Medium Risk
1,0.997,High Risk
0,0.42,Medium Risk
1,0.401,Medium Risk
1,0.997,High Risk
0,0.809,High Risk
1,0.361,Low Risk
0,0.46,Medium Risk
1,0.71,High Risk
0,0.357,Low Risk
1,0.997,High Risk
1,0.518,Medium Risk
1,0.814,High Risk
0,0.436,Medium Risk
0,0.295,Low Risk
1,0.832,High Risk
1,0.405,Medium Risk
0,0.433,Medium Risk
0,0.307,Low Risk
1,0.265,Low Risk
0,0.354,Low Risk
1,0.322,Low Risk
0,0.452,Medium Risk
0,0.333,Low Risk
1,0.775,High Risk
0,0.604,High Risk
0,0.292,Low Risk
0,0.29,Low Risk
1,0.997,High Risk
1,0.851,High Risk
0,0.3,Low Risk
1,0.997,High Risk
1,0.731,High Risk
0,0.264,Low Risk
1,0.325,Low Risk
1,0.387,Low Risk
0,0.383,Low Risk
0,0.412,Medium Risk
0,0.388,Low Risk
1,0.416,Medium Risk
1,0.391,Low Risk
0,0.345,Low Risk
1,0.996,High Risk
1,0.997,High Risk
1,0.65,High Risk
0,0.365,Low Risk
0,0.451,Medium Risk
1,0.394,Low Risk
1,0.385,Low Risk
1,0.389,Low Risk
1,0.409,Medium Risk
1,0.411,Medium Risk
1,0.333,Low Risk
1,0.283,Low Risk
1,0.387,Low Risk
1,0.395,Low Risk
0,0.377,Low Risk
1,0.762,High Risk
0,0.398,Low Risk
0,0.3,Low Risk
1,0.371,Low Risk
0,0.386,Low Risk
1,0.81,High Risk
1,0.379,Low Risk
0,0.389,Low Risk
0,0.315,Low Risk
0,0.326,Low Risk
0,0.361,Low Risk
1,0.8,High Risk
0,0.367,Low Risk
1,0.395,Low Risk
1,0.796,High Risk
1,0.603,High Risk
1,0.459,Medium Risk
1,0.558,Medium Risk
0,0.406,Medium Risk
1,0.406,Medium Risk
1,0.392,Low Risk
0,0.385,Low Risk
1,0.777,High Risk
0,0.403,Medium Risk
1,0.892,High Risk
0,0.342,Low Risk
0,0.742,High Risk
0,0.35,Low Risk
0,0.449,Medium Risk
0,0.433,Medium Risk
0,0.352,Low Risk
0,0.408,Medium Risk
1,0.87,High Risk
0,0.494,Medium Risk
1,0.326,Low Risk
1,0.997,High Risk
1,0.41,Medium Risk
1,0.411,Medium Risk
1,0.996,High Risk
1,0.411,Medium Risk
1,0.4,Low Risk
1,0.997,High Risk
0,0.298,Low Risk
0,0.335,Low Risk
1,0.348,Low Risk
0,0.362,Low Risk
1,0.997,High Risk
0,0.75,High Risk
1,0.411,Medium Risk
1,0.342,Low Risk
0,0.352,Low Risk
0,0.409,Medium Risk
1,0.388,Low Risk
1,0.446,Medium Risk
0,0.456,Medium Risk
1,0.704,High Risk
0,0.295,Low Risk
1,0.412,Medium Risk
1,0.355,Low Risk
0,0.367,Low Risk
0,0.384,Low Risk
1,0.391,Low Risk
1,0.384,Low Risk
0,0.319,Low Risk
1,0.769,High Risk
1,0.767,High Risk
0,0.376,Low Risk
0,0.294,Low Risk
0,0.833,High Risk
0,0.367,Low Risk
0,0.492,Medium Risk
1,0.805,High Risk
0,0.78,High Risk
1,0.393,Low Risk
1,0.771,High Risk
0,0.344,Low Risk
0,0.341,Low Risk
1,0.658,High Risk
1,0.996,High Risk
0,0.364,Low Risk
1,0.447,Medium Risk
0,0.461,Medium Risk
0,0.403,Medium Risk
1,0.797,High Risk
0,0.34,Low Risk
1,0.996,High Risk
0,0.403,Medium Risk
1,0.385,Low Risk
1,0.785,High Risk
1,0.396,Low Risk
0,0.391,Low Risk
0,0.41,Medium Risk
1,0.996,High Risk
1,0.72,High Risk
0,0.809,High Risk
0,0.329,Low Risk
1,0.374,Low Risk
0,0.406,Medium Risk
1,0.393,Low Risk
1,0.765,High Risk
1,0.52,Medium Risk
1,0.359,Low Risk
0,0.814,High Risk
1,0.997,High Risk
0,0.332,Low Risk
1,0.799,High Risk
0,0.414,Medium Risk
0,0.389,Low Risk
0,0.365,Low Risk
1,0.997,High Risk
0,0.412,Medium Risk
0,0.415,Medium Risk
1,0.365,Low Risk
1,0.439,Medium Risk
1,0.408,Medium Risk
0,0.341,Low Risk
1,0.839,High Risk
0,0.306,Low Risk
1,0.351,Low Risk
0,0.345,Low Risk
0,0.342,Low Risk
0,0.369,Low Risk
1,0.891,High Risk
1,0.404,Medium Risk
0,0.257,Low Risk
0,0.777,High Risk
1,0.466,Medium Risk
1,0.996,High Risk
1,0.997,High Risk
1,0.41,Medium Risk
0,0.384,Low Risk
0,0.328,Low Risk
0,0.518,Medium Risk
0,0.374,Low Risk
1,0.808,High Risk
1,0.438,Medium Risk
1,0.816,High Risk
0,0.679,High Risk
0,0.359,Low Risk
0,0.478,Medium Risk
1,0.439,Medium Risk
0,0.386,Low Risk
1,0.401,Medium Risk
1,0.356,Low Risk
1,0.394,Low Risk
0,0.363,Low Risk
0,0.331,Low Risk
1,0.384,Low Risk
0,0.334,Low Risk
1,0.333,Low Risk
1,0.681,High Risk
0,0.745,High Risk
1,0.334,Low Risk
1,0.7,High Risk
1,0.822,High Risk
0,0.359,Low Risk
0,0.457,Medium Risk
1,0.374,Low Risk
1,0.996,High Risk
1,0.797,High Risk
0,0.441,Medium Risk
1,0.796,High Risk
0,0.507,Medium Risk
1,0.997,High Risk
1,0.671,High Risk
0,0.383,Low Risk
0,0.268,Low Risk
0,0.415,Medium Risk
1,0.357,Low Risk
1,0.696,High Risk
1,0.304,Low Risk
1,0.997,High Risk
0,0.677,High Risk
1,0.791,High Risk
1,0.812,High Risk
1,0.388,Low Risk
1,0.841,High Risk
0,0.378,Low Risk
0,0.422,Medium Risk
1,0.838,High Risk
1,0.996,High Risk
0,0.426,Medium Risk
0,0.413,Medium Risk
1,0.438,Medium Risk
1,0.827,High Risk
0,0.397,Low Risk
0,0.709,High Risk
0,0.39,Low Risk
1,0.326,Low Risk
1,0.997,High Risk
0,0.399,Low Risk
0,0.308,Low Risk
0,0.329,Low Risk
0,0.391,Low Risk
1,0.446,Medium Risk
0,0.425,Medium Risk
1,0.38,Low Risk
0,0.324,Low Risk
0,0.39,Low Risk
0,0.317,Low Risk
1,0.383,Low Risk
1,0.319,Low Risk
1,0.854,High Risk
1,0.816,High Risk
1,0.37,Low Risk
0,0.28,Low Risk
0,0.392,Low Risk
1,0.997,High Risk
0,0.862,High Risk
0,0.331,Low Risk
1,0.795,High Risk
0,0.323,Low Risk
1,0.814,High Risk
1,0.996,High Risk
1,0.374,Low Risk
1,0.996,High Risk
0,0.331,Low Risk
0,0.353,Low Risk
1,0.997,High Risk
1,0.43,Medium Risk
0,0.371,Low Risk
0,0.457,Medium Risk
0,0.381,Low Risk
0,0.294,Low Risk
0,0.433,Medium Risk
1,0.782,High Risk
1,0.399,Low Risk
1,0.383,Low Risk
1,0.318,Low Risk
0,0.371,Low Risk
0,0.84,High Risk
1,0.762,High Risk
1,0.411,Medium Risk
0,0.356,Low Risk
0,0.426,Medium Risk
0,0.205,Low Risk
1,0.421,Medium Risk
1,0.308,Low Risk
1,0.997,High Risk
0,0.424,Medium Risk
1,0.997,High Risk
0,0.321,Low Risk
1,0.996,High Risk
1,0.996,High Risk
0,0.354,Low Risk
0,0.336,Low Risk
1,0.651,High Risk
1,0.799,High Risk
1,0.996,High Risk
0,0.417,Medium Risk
1,0.997,High Risk
1,0.812,High Risk
1,0.668,High Risk
1,0.806,High Risk
1,0.409,Medium Risk
0,0.385,Low Risk
0,0.397,Low Risk
0,0.406,Medium Risk
0,0.403,Medium Risk
0,0.4,Low Risk
1,0.395,Low Risk
0,0.391,Low Risk
0,0.33,Low Risk
0,0.363,Low Risk
0,0.456,Medium Risk
0,0.371,Low Risk
1,0.787,High Risk
1,0.412,Medium Risk
1,0.379,Low Risk
0,0.367,Low Risk
0,0.753,High Risk
0,0.388,Low Risk
1,0.784,High Risk
1,0.853,High Risk
1,0.997,High Risk
0,0.302,Low Risk
0,0.331,Low Risk
0,0.395,Low Risk
0,0.372,Low Risk
1,0.995,High Risk
1,0.422,Medium Risk
0,0.493,Medium Risk
1,0.997,High Risk
0,0.447,Medium Risk
0,0.388,Low Risk
1,0.762,High Risk
0,0.379,Low Risk
1,0.385,Low Risk
0,0.346,Low Risk
1,0.813,High Risk
0,0.404,Medium Risk
0,0.411,Medium Risk
1,0.382,Low Risk
1,0.7,High Risk
1,0.839,High Risk
0,0.438,Medium Risk
0,0.397,Low Risk
1,0.997,High Risk
0,0.42,Medium Risk
1,0.996,High Risk
1,0.841,High Risk
1,0.669,High Risk
1,0.996,High Risk
0,0.418,Medium Risk
1,0.431,Medium Risk
1,0.245,Low Risk
1,0.399,Low Risk
1,0.997,High Risk
1,0.675,High Risk
0,0.598,Medium Risk
0,0.396,Low Risk
0,0.46,Medium Risk
1,0.815,High Risk
1,0.323,Low Risk
1,0.996,High Risk
1,0.355,Low Risk
0,0.388,Low Risk
1,0.405,Medium Risk
0,0.367,Low Risk
0,0.442,Medium Risk
1,0.39,Low Risk
1,0.996,High Risk
0,0.337,Low Risk
0,0.396,Low Risk
0,0.406,Medium Risk
1,0.396,Low Risk
1,0.367,Low Risk
1,0.811,High Risk
0,0.382,Low Risk
1,0.845,High Risk
0,0.477,Medium Risk
0,0.388,Low Risk
0,0.353,Low Risk
1,0.342,Low Risk
1,0.997,High Risk
1,0.831,High Risk
1,0.789,High Risk
1,0.739,High Risk
0,0.39,Low Risk
1,0.329,Low Risk
1,0.823,High Risk
1,0.601,High Risk
0,0.452,Medium Risk
1,0.996,High Risk
1,0.997,High Risk
0,0.324,Low Risk
1,0.996,High Risk
0,0.328,Low Risk
0,0.406,Medium Risk
0,0.47,Medium Risk
1,0.415,Medium Risk
1,0.996,High Risk
1,0.293,Low Risk
0,0.432,Medium Risk
1,0.274,Low Risk
0,0.429,Medium Risk
1,0.402,Medium Risk
0,0.78,High Risk
0,0.39,Low Risk
0,0.359,Low Risk
0,0.389,Low Risk
0,0.338,Low Risk
0,0.391,Low Risk
1,0.996,High Risk
0,0.41,Medium Risk
1,0.355,Low Risk
1,0.824,High Risk
1,0.342,Low Risk
0,0.352,Low Risk
1,0.996,High Risk
0,0.458,Medium Risk
1,0.997,High Risk
1,0.438,Medium Risk
1,0.996,High Risk
0,0.893,High Risk
1,0.781,High Risk
0,0.397,Low Risk
1,0.41,Medium Risk
1,0.997,High Risk
1,0.397,Low Risk
0,0.402,Medium Risk
0,0.818,High Risk
0,0.408,Medium Risk
0,0.404,Medium Risk
1,0.777,High Risk
1,0.304,Low Risk
1,0.996,High Risk
1,0.389,Low Risk
0,0.347,Low Risk
0,0.396,Low Risk
0,0.355,Low Risk
1,0.64,High Risk
1,0.808,High Risk
0,0.399,Low Risk
1,0.405,Medium Risk
0,0.376,Low Risk
1,0.758,High Risk
1,0.996,High Risk
1,0.996,High Risk
1,0.713,High Risk
0,0.358,Low Risk
0,0.461,Medium Risk
1,0.996,High Risk
1,0.811,High Risk
0,0.43,Medium Risk
0,0.35,Low Risk
1,0.997,High Risk
0,0.42,Medium Risk
1,0.303,Low Risk
1,0.377,Low Risk
0,0.43,Medium Risk
0,0.357,Low Risk
1,0.996,High Risk
1,0.997,High Risk
1,0.681,High Risk
1,0.666,High Risk
1,0.996,High Risk
0,0.86,High Risk
1,0.65,High Risk
0,0.836,High Risk
0,0.375,Low Risk
0,0.417,Medium Risk
0,0.389,Low Risk
1,0.997,High Risk
0,0.778,High Risk
0,0.329,Low Risk
1,0.395,Low Risk
1,0.341,Low Risk
1,0.864,High Risk
1,0.778,High Risk
1,0.41,Medium Risk
1,0.996,High Risk
0,0.414,Medium Risk
1,0.997,High Risk
1,0.395,Low Risk
0,0.404,Medium Risk
0,0.396,Low Risk
0,0.422,Medium Risk
1,0.996,High Risk
0,0.413,Medium Risk
1,0.371,Low Risk
0,0.354,Low Risk
0,0.351,Low Risk
1,0.41,Medium Risk
1,0.497,Medium Risk
1,0.996,High Risk
1,0.762,High Risk
1,0.788,High Risk
0,0.266,Low Risk
0,0.288,Low Risk
1,0.996,High Risk
0,0.396,Low Risk
0,0.341,Low Risk
0,0.422,Medium Risk
1,0.836,High Risk
1,0.448,Medium Risk
1,0.997,High Risk
1,0.387,Low Risk
1,0.996,High Risk
0,0.381,Low Risk
1,0.997,High Risk
0,0.392,Low Risk
1,0.76,High Risk
1,0.694,High Risk
1,0.429,Medium Risk
1,0.818,High Risk
1,0.321,Low Risk
1,0.397,Low Risk
1,0.997,High Risk
1,0.312,Low Risk
0,0.375,Low Risk
1,0.786,High Risk
1,0.997,High Risk
0,0.353,Low Risk
1,0.397,Low Risk
0,0.371,Low Risk
0,0.385,Low Risk
1,0.851,High Risk
1,0.683,High Risk
0,0.384,Low Risk
1,0.414,Medium Risk
0,0.396,Low Risk
1,0.823,High Risk
0,0.36,Low Risk
1,0.794,High Risk
1,0.877,High Risk
0,0.387,Low Risk
1,0.997,High Risk
1,0.395,Low Risk
1,0.534,Medium Risk
1,0.995,High Risk
0,0.388,Low Risk
0,0.439,Medium Risk
0,0.389,Low Risk
0,0.399,Low Risk
0,0.829,High Risk
0,0.409,Medium Risk
1,0.39,Low Risk
0,0.412,Medium Risk
1,0.779,High Risk
0,0.309,Low Risk
1,0.792,High Risk
1,0.705,High Risk
1,0.673,High Risk
1,0.834,High Risk
0,0.391,Low Risk
0,0.457,Medium Risk
1,0.823,High Risk
0,0.291,Low Risk
1,0.577,Medium Risk
0,0.767,High Risk
0,0.432,Medium Risk
0,0.334,Low Risk
1,0.388,Low Risk
0,0.368,Low Risk
0,0.404,Medium Risk
0,0.425,Medium Risk
1,0.407,Medium Risk
0,0.363,Low Risk
1,0.844,High Risk
1,0.404,Medium Risk
1,0.807,High Risk
1,0.645,High Risk
1,0.356,Low Risk
0,0.397,Low Risk
0,0.413,Medium Risk
0,0.643,High Risk
0,0.559,Medium Risk
0,0.416,Medium Risk
1,0.41,Medium Risk
1,0.819,High Risk
1,0.402,Medium Risk
1,0.828,High Risk
0,0.395,Low Risk
1,0.279,Low Risk
1,0.792,High Risk
1,0.811,High Risk
1,0.996,High Risk
1,0.365,Low Risk
0,0.372,Low Risk
1,0.665,High Risk
1,0.561,Medium Risk
1,0.783,High Risk
0,0.832,High Risk
1,0.442,Medium Risk
1,0.799,High Risk
1,0.766,High Risk
0,0.393,Low Risk
1,0.474,Medium Risk
1,0.402,Medium Risk
1,0.364,Low Risk
0,0.378,Low Risk
1,0.433,Medium Risk
1,0.813,High Risk
0,0.261,Low Risk
0,0.713,High Risk
1,0.711,High Risk
1,0.789,High Risk
1,0.997,High Risk
0,0.374,Low Risk
1,0.8,High Risk
1,0.996,High Risk
0,0.439,Medium Risk
0,0.403,Medium Risk
0,0.488,Medium Risk
1,0.682,High Risk
1,0.424,Medium Risk
1,0.802,High Risk
1,0.997,High Risk
1,0.997,High Risk
1,0.792,High Risk
1,0.819,High Risk
1,0.997,High Risk
1,0.834,High Risk
1,0.445,Medium Risk
1,0.277,Low Risk
1,0.395,Low Risk
1,0.997,High Risk
1,0.321,Low Risk
0,0.44,Medium Risk
0,0.425,Medium Risk
1,0.838,High Risk
0,0.423,Medium Risk
0,0.449,Medium Risk
1,0.828,High Risk
1,0.357,Low Risk
1,0.71,High Risk
0,0.391,Low Risk
0,0.34,Low Risk
1,0.525,Medium Risk
1,0.828,High Risk
0,0.504,Medium Risk
0,0.405,Medium Risk
0,0.687,High Risk
1,0.996,High Risk
1,0.996,High Risk
1,0.594,Medium Risk
1,0.996,High Risk
1,0.797,High Risk
0,0.37,Low Risk
0,0.474,Medium Risk
1,0.543,Medium Risk
1,0.323,Low Risk
0,0.421,Medium Risk
0,0.463,Medium Risk
1,0.804,High Risk
0,0.388,Low Risk
0,0.39,Low Risk
1,0.996,High Risk
0,0.305,Low Risk
0,0.412,Medium Risk
1,0.391,Low Risk
1,0.397,Low Risk
0,0.392,Low Risk
0,0.371,Low Risk
1,0.399,Low Risk
0,0.471,Medium Risk
0,0.265,Low Risk
1,0.797,High Risk
0,0.346,Low Risk
0,0.333,Low Risk
1,0.352,Low Risk
1,0.403,Medium Risk
0,0.304,Low Risk
0,0.404,Medium Risk
0,0.358,Low Risk
1,0.778,High Risk
0,0.343,Low Risk
1,0.808,High Risk
0,0.454,Medium Risk
1,0.403,Medium Risk
1,0.378,Low Risk
0,0.299,Low Risk
1,0.996,High Risk
1,0.476,Medium Risk
1,0.997,High Risk
1,0.996,High Risk
1,0.34,Low Risk
0,0.399,Low Risk
0,0.391,Low Risk
1,0.691,High Risk
1,0.365,Low Risk
0,0.771,High Risk
1,0.77,High Risk
0,0.46,Medium Risk
0,0.387,Low Risk
1,0.997,High Risk
0,0.324,Low Risk
1,0.996,High Risk
0,0.24,Low Risk
1,0.788,High Risk
1,0.81,High Risk
0,0.399,Low Risk
0,0.552,Medium Risk
1,0.323,Low Risk
1,0.997,High Risk
1,0.996,High Risk
0,0.4,Low Risk
0,0.782,High Risk
0,0.328,Low Risk
1,0.79,High Risk
1,0.438,Medium Risk
1,0.31,Low Risk
0,0.351,Low Risk
1,0.811,High Risk
1,0.369,Low Risk
1,0.996,High Risk
0,0.404,Medium Risk
1,0.378,Low Risk
1,0.997,High Risk
1,0.997,High Risk
1,0.313,Low Risk
1,0.807,High Risk
0,0.332,Low Risk
1,0.79,High Risk
1,0.864,High Risk
1,0.708,High Risk
0,0.389,Low Risk
1,0.295,Low Risk
0,0.387,Low Risk
1,0.413,Medium Risk
0,0.393,Low Risk
1,0.778,High Risk
1,0.829,High Risk
0,0.363,Low Risk
1,0.175,Low Risk
0,0.407,Medium Risk
1,0.997,High Risk
0,0.363,Low Risk
0,0.659,High Risk
1,0.406,Medium Risk
1,0.415,Medium Risk
1,0.381,Low Risk
1,0.782,High Risk
1,0.325,Low Risk
1,0.995,High Risk
1,0.421,Medium Risk
1,0.794,High Risk
0,0.437,Medium Risk
0,0.532,Medium Risk
1,0.996,High Risk
1,0.365,Low Risk
1,0.334,Low Risk
1,0.83,High Risk
1,0.471,Medium Risk
0,0.616,High Risk
0,0.425,Medium Risk
1,0.37,Low Risk
0,0.39,Low Risk
1,0.774,High Risk
1,0.802,High Risk
1,0.805,High Risk
1,0.335,Low Risk
1,0.409,Medium Risk
1,0.82,High Risk
0,0.359,Low Risk
1,0.996,High Risk
0,0.436,Medium Risk
0,0.346,Low Risk
1,0.393,Low Risk
0,0.374,Low Risk
0,0.392,Low Risk
1,0.784,High Risk
1,0.405,Medium Risk
0,0.366,Low Risk
0,0.28,Low Risk
0,0.385,Low Risk
0,0.469,Medium Risk
1,0.414,Medium Risk
1,0.433,Medium Risk
1,0.996,High Risk
1,0.422,Medium Risk
0,0.379,Low Risk
1,0.388,Low Risk
0,0.273,Low Risk
1,0.996,High Risk
1,0.379,Low Risk
0,0.269,Low Risk
1,0.437,Medium Risk
1,0.997,High Risk
1,0.997,High Risk
0,0.329,Low Risk
0,0.345,Low Risk
1,0.8,High Risk
0,0.361,Low Risk
1,0.385,Low Risk
0,0.793,High Risk
1,0.33,Low Risk
0,0.415,Medium Risk
1,0.785,High Risk
1,0.996,High Risk
1,0.711,High Risk
1,0.33,Low Risk
1,0.411,Medium Risk
0,0.395,Low Risk
0,0.754,High Risk
0,0.355,Low Risk
1,0.359,Low Risk
1,0.388,Low Risk
1,0.996,High Risk
1,0.996,High Risk
0,0.355,Low Risk
0,0.388,Low Risk
1,0.587,Medium Risk
1,0.997,High Risk
1,0.997,High Risk
1,0.996,High Risk
1,0.811,High Risk
0,0.451,Medium Risk
1,0.794,High Risk
1,0.405,Medium Risk
0,0.829,High Risk
0,0.331,Low Risk
1,0.497,Medium Risk
1,0.405,Medium Risk
1,0.87,High Risk
1,0.787,High Risk
1,0.342,Low Risk
0,0.359,Low Risk
0,0.26,Low Risk
0,0.479,Medium Risk
0,0.416,Medium Risk
1,0.777,High Risk
0,0.396,Low Risk
1,0.888,High Risk
0,0.446,Medium Risk
0,0.726,High Risk
1,0.807,High Risk
1,0.388,Low Risk
0,0.404,Medium Risk
1,0.996,High Risk
1,0.336,Low Risk
1,0.997,High Risk
1,0.451,Medium Risk
1,0.996,High Risk
0,0.4,Low Risk
1,0.997,High Risk
0,0.613,High Risk
0,0.673,High Risk
1,0.674,High Risk
0,0.284,Low Risk
1,0.82,High Risk
1,0.429,Medium Risk
0,0.449,Medium Risk
0,0.301,Low Risk
1,0.415,Medium Risk
0,0.373,Low Risk
0,0.403,Medium Risk
0,0.846,High Risk
1,0.34,Low Risk
1,0.997,High Risk
0,0.386,Low Risk
1,0.996,High Risk
0,0.406,Medium Risk
0,0.398,Low Risk
1,0.642,High Risk
0,0.411,Medium Risk
1,0.335,Low Risk
1,0.996,High Risk
0,0.344,Low Risk
0,0.378,Low Risk
0,0.338,Low Risk
0,0.821,High Risk
1,0.398,Low Risk
1,0.811,High Risk
1,0.381,Low Risk
1,0.404,Medium Risk
1,0.428,Medium Risk
1,0.812,High Risk
0,0.375,Low Risk
1,0.822,High Risk
0,0.805,High Risk
1,0.402,Medium Risk
1,0.459,Medium Risk
1,0.347,Low Risk
0,0.391,Low Risk
1,0.997,High Risk
1,0.996,High Risk
0,0.28,Low Risk
1,0.996,High Risk
0,0.331,Low Risk
0,0.386,Low Risk
1,0.432,Medium Risk
0,0.396,Low Risk
0,0.485,Medium Risk
1,0.845,High Risk
0,0.815,High Risk
1,0.761,High Risk
1,0.996,High Risk
1,0.997,High Risk
1,0.458,Medium Risk
0,0.398,Low Risk
0,0.734,High Risk
1,0.816,High Risk
0,0.409,Medium Risk
0,0.395,Low Risk
1,0.997,High Risk
1,0.997,High Risk
1,0.382,Low Risk
0,0.699,High Risk
1,0.713,High Risk
0,0.573,Medium Risk
0,0.381,Low Risk
1,0.416,Medium Risk
1,0.819,High Risk
1,0.809,High Risk
1,0.365,Low Risk
0,0.415,Medium Risk
1,0.997,High Risk
1,0.997,High Risk
1,0.385,Low Risk
0,0.332,Low Risk
0,0.372,Low Risk
0,0.361,Low Risk
1,0.648,High Risk
0,0.462,Medium Risk
1,0.804,High Risk
1,0.839,High Risk
0,0.487,Medium Risk
0,0.398,Low Risk
1,0.997,High Risk
1,0.765,High Risk
0,0.464,Medium Risk
1,0.384,Low Risk
1,0.811,High Risk
1,0.809,High Risk
0,0.794,High Risk
1,0.356,Low Risk
1,0.666,High Risk
0,0.681,High Risk
1,0.386,Low Risk
0,0.384,Low Risk
0,0.38,Low Risk
1,0.398,Low Risk
1,0.412,Medium Risk
0,0.797,High Risk
1,0.997,High Risk
1,0.432,Medium Risk
1,0.398,Low Risk
0,0.373,Low Risk
1,0.689,High Risk
1,0.382,Low Risk
0,0.39,Low Risk
1,0.827,High Risk
1,0.664,High Risk
0,0.824,High Risk
1,0.327,Low Risk
1,0.312,Low Risk
1,0.997,High Risk
0,0.39,Low Risk
0,0.574,Medium Risk
1,0.83,High Risk
1,0.394,Low Risk
1,0.997,High Risk
0,0.392,Low Risk
1,0.417,Medium Risk
0,0.328,Low Risk
1,0.645,High Risk
1,0.789,High Risk
0,0.331,Low Risk
0,0.327,Low Risk
0,0.783,High Risk
0,0.374,Low Risk
1,0.229,Low Risk
1,0.711,High Risk
0,0.39,Low Risk
1,0.404,Medium Risk
1,0.704,High Risk
